,school,no_of_applicants,accept_rate,sat_25th_perc,sat_75th_perc,sat_median,sat_median_pct,act_25th_perc,act_75th_perc,act_median,act_median_pct,applicants_accepted
188,University at Buffalo—​SUNY,29900,0.611,1160.0,1340.0,1250.0,70.83,24.0,29.0,26.5,73.61,18268
189,Concordia College—​Moorhead,4160,0.612,1080.0,1368.0,1224.0,68.67,21.0,27.0,24.0,66.67,2545
190,SUNY College of Environmental Science and Forestry,2018,0.614,1120.0,1310.0,1215.0,67.92,23.0,29.0,26.0,72.22,1239
191,University of Portland,14505,0.615,1160.0,1330.0,1245.0,70.42,23.0,29.0,26.0,72.22,8920
192,Cornell College,3118,0.618,1100.0,1345.0,1222.5,68.54,23.0,29.0,26.0,72.22,1926
193,Muhlenberg College,4146,0.618,1170.0,1360.0,1265.0,72.08,26.0,30.0,28.0,77.78,2562
194,Gonzaga University,9279,0.619,1210.0,1358.0,1284.0,73.67,25.0,30.0,27.5,76.39,5743
195,Beloit College,3657,0.62,1080.0,1380.0,1230.0,69.17,24.0,30.0,27.0,75.0,2267
196,Lawrence University,3463,0.621,1200.0,1430.0,1315.0,76.25,25.0,32.0,28.5,79.17,2150
197,University of Utah,24404,0.621,1142.5,1380.0,1261.25,71.77,22.0,29.0,25.5,70.83,15154
198,Allegheny College,5208,0.622,1170.0,1360.0,1265.0,72.08,24.0,30.0,27.0,75.0,3239
199,University of Delaware,27691,0.624,1170.0,1350.0,1260.0,71.67,25.0,30.0,27.5,76.39,17279
200,Westmont College,2937,0.624,1110.0,1370.0,1240.0,70.0,23.0,30.0,26.5,73.61,1832
201,Luther College,4422,0.626,1050.0,1310.0,1180.0,65.0,23.0,29.0,26.0,72.22,2768
202,Rutgers The State University of New Jersey—​Newark,13259,0.627,1020.0,1190.0,1105.0,58.75,19.0,24.0,21.5,59.72,8313
203,Earlham College,2070,0.634,1100.0,1370.0,1235.0,69.58,23.0,30.0,26.5,73.61,1312
204,Augustana College,6211,0.636,1070.0,1280.0,1175.0,64.58,22.0,29.0,25.5,70.83,3950
205,Wofford College,3522,0.636,1180.0,1350.0,1265.0,72.08,27.0,30.0,28.5,79.17,2239
206,New Jersey Institute of Technology,8123,0.637,1190.0,1380.0,1285.0,73.75,25.0,30.0,27.5,76.39,5174
207,University of Massachusetts—​Amherst,42157,0.638,1190.0,1390.0,1290.0,74.17,26.0,32.0,29.0,80.56,26896
208,Wabash College,1307,0.642,1120.0,1320.0,1220.0,68.33,23.0,29.0,26.0,72.22,839
209,DePauw University,4935,0.644,1130.0,1360.0,1245.0,70.42,23.0,30.0,26.5,73.61,3178
210,Drury University,1664,0.644,1045.0,1225.0,1135.0,61.25,22.0,28.0,25.0,69.44,1071
211,St. John Fisher College,4720,0.645,1070.0,1260.0,1165.0,63.75,21.0,26.0,23.5,65.28,3044
212,University of San Francisco,18411,0.6459999999999999,1130.0,1330.0,1230.0,69.17,23.0,29.0,26.0,72.22,11893
213,Bard College,5141,0.6459999999999999,1248.0,1420.0,1334.0,77.83,27.0,31.0,29.0,80.56,3321
214,Goshen College,1278,0.647,1010.0,1210.0,1110.0,59.17,21.0,29.0,25.0,69.44,826
215,Agnes Scott College,1751,0.648,1130.0,1340.0,1235.0,69.58,24.0,30.0,27.0,75.0,1134
216,Virginia Polytechnic Institute and State University,31936,0.648,1180.0,1390.0,1285.0,73.75,25.0,31.0,28.0,77.78,20694
217,University of Houston,25393,0.65,1140.0,1310.0,1225.0,68.75,22.0,27.0,24.5,68.06,16505
218,University of North Carolina—​Charlotte,21867,0.65,1120.0,1290.0,1205.0,67.08,22.0,26.0,24.0,66.67,14213
219,Truman State University,4568,0.653,1080.0,1358.0,1219.0,68.25,24.0,30.0,27.0,75.0,2982
220,University of North Carolina—​Wilmington,13287,0.655,1170.0,1320.0,1245.0,70.42,22.0,27.0,24.5,68.06,8702
221,SUNY—​Geneseo,10433,0.655,1120.0,1310.0,1215.0,67.92,23.0,28.0,25.5,70.83,6833
222,Embry-​Riddle Aeronautical University,6017,0.655,1110.0,1320.0,1215.0,67.92,22.0,29.0,25.5,70.83,3941
223,University of the Pacific,13096,0.6559999999999999,1130.0,1360.0,1245.0,70.42,23.0,31.0,27.0,75.0,8590
224,Rochester Institute of Technology,18948,0.66,1200.0,1400.0,1300.0,75.0,27.0,32.0,29.5,81.94,12505
225,Berry College,3970,0.6609999999999999,1110.0,1310.0,1210.0,67.5,23.0,29.0,26.0,72.22,2624
226,Mississippi State University,18269,0.6629999999999999,1070.0,1280.0,1175.0,64.58,22.0,30.0,26.0,72.22,12112
227,Sewanee—​University of the South,3545,0.667,1150.0,1340.0,1245.0,70.42,25.0,30.0,27.5,76.39,2364
228,Hanover College,7795,0.669,1078.0,1300.0,1189.0,65.75,22.0,28.0,25.0,69.44,5214
229,Coe College,7795,0.669,1078.0,1300.0,1189.0,65.75,22.0,28.0,25.0,69.44,5214
230,Randolph-​Macon College,2907,0.6709999999999999,1020.0,1240.0,1130.0,60.83,20.0,27.0,23.5,65.28,1950
231,Loyola University Chicago,25583,0.672,1140.0,1320.0,1230.0,69.17,25.0,30.0,27.5,76.39,17191
232,University of Vermont,19233,0.6729999999999999,1180.0,1360.0,1270.0,72.5,26.0,31.0,28.5,79.17,12943
233,San Francisco State University,34629,0.6729999999999999,940.0,1150.0,1045.0,53.75,17.0,23.0,20.0,55.56,23305
234,Brigham Young University—​Provo,10500,0.675,1210.0,1420.0,1315.0,76.25,26.0,31.0,28.5,79.17,7087
235,Drake University,6944,0.6759999999999999,1100.0,1370.0,1235.0,69.58,24.0,31.0,27.5,76.39,4694
236,Stonehill College,6961,0.677,1120.0,1290.0,1205.0,67.08,24.0,28.5,26.25,72.92,4712
237,Elmhurst College,4175,0.6779999999999999,990.0,1210.0,1100.0,58.33,20.0,26.0,23.0,63.89,2830
238,Taylor University,2341,0.6809999999999999,1080.0,1310.0,1195.0,66.25,22.0,28.0,25.0,69.44,1594
239,Knox College,3397,0.6829999999999999,1090.0,1350.0,1220.0,68.33,24.0,31.0,27.5,76.39,2320
