,school,no_of_applicants,accept_rate,sat_25th_perc,sat_75th_perc,sat_median,sat_median_pct,act_25th_perc,act_75th_perc,act_median,act_median_pct,applicants_accepted
363,George Mason University,19554,0.867,1110.0,1320.0,1215.0,67.92,24.0,30.0,27.0,75.0,16953
364,Old Dominion,13335,0.87,990.0,1200.0,1095.0,57.92,18.0,24.0,21.0,58.33,11601
365,Missouri State,7581,0.879,1040.0,1240.0,1140.0,61.67,21.0,27.0,24.0,66.67,6663
366,University of Wisconsin Milwaukee,8280,0.885,1000.0,1398.0,1199.0,66.58,20.0,25.0,22.5,62.5,7327
367,Transylvania University,1702,0.887,1100.0,1310.0,1205.0,67.08,24.0,30.0,27.0,75.0,1509
368,University of Maine,13118,0.902,1050.0,1260.0,1155.0,62.92,21.0,27.0,24.0,66.67,11832
369,Humboldt State University,16335,0.909,980.0,1190.0,1085.0,57.08,17.0,25.0,21.0,58.33,14848
370,Utah State,15276,0.91,1050.0,1310.0,1180.0,65.0,21.0,28.0,24.5,68.06,13901
371,Iowa State University,18246,0.9209999999999999,1100.0,1340.0,1220.0,68.33,22.0,28.0,25.0,69.44,16804
372,Washington College,2225,0.924,1090.0,1300.0,1195.0,66.25,20.0,29.0,24.5,68.06,2055
373,University of Montana,6182,0.9259999999999999,1060.0,1270.0,1165.0,63.75,21.0,26.0,23.5,65.28,5724
374,Samford University,3912,0.929,1070.0,1250.0,1160.0,63.33,23.0,29.0,26.0,72.22,3634
375,University of Kentucky,19324,0.945,1080.0,1300.0,1190.0,65.83,23.0,29.0,26.0,72.22,18261
376,University of Toledo,10228,0.951,1000.0,1240.0,1120.0,60.0,20.0,26.0,23.0,63.89,9726
377,Portland State,7821,0.961,1010.0,1230.0,1120.0,60.0,18.0,25.0,21.5,59.72,7515
378,Queens University of Charlotte,2319,0.9620000000000001,1040.0,1240.0,1140.0,61.67,21.0,27.0,24.0,66.67,2230
379,Western Kentucky,8245,0.973,990.0,1220.0,1105.0,58.75,19.0,27.0,23.0,63.89,8022
380,United States Naval Academy,16332,0.083,1240.0,1520.0,1380.0,81.67,27.0,32.0,29.5,81.94,1355
381,United States Military Academy,11675,0.10300000000000001,1160.0,1380.0,1270.0,72.5,25.0,30.0,27.5,76.39,1202
382,United States Air Force Academy,10354,0.111,1230.0,1440.0,1335.0,77.92,28.0,33.0,30.5,84.72,1149
383,United States Coast Guard Academy,2274,0.128,1245.0,1420.0,1332.5,77.71,26.0,31.0,28.5,79.17,291
384,United States Merchant Maritime Academy,1693,0.248,1200.0,1340.0,1270.0,72.5,25.0,31.0,28.0,77.78,419
385,Howard University,20946,0.316,1140.0,1285.0,1212.5,67.71,22.0,27.0,24.5,68.06,6618
386,Florida State University,58936,0.36,1200.0,1340.0,1270.0,72.5,26.0,30.0,28.0,77.78,21216
387,Hillsdale College,2208,0.36,1275.0,1465.0,1370.0,80.83,29.0,32.0,30.5,84.72,794
388,University of Central Florida,35240,0.382,1160.0,1340.0,1250.0,70.83,25.0,29.0,27.0,75.0,13461
389,University of Florida,38905,0.38799999999999996,1280.0,1440.0,1360.0,80.0,27.0,32.0,29.5,81.94,15095
390,University of South Florida,36986,0.47700000000000004,1170.0,1330.0,1250.0,70.83,25.0,29.0,27.0,75.0,17642
391,Gallaudet University,496,0.5710000000000001,793.0,1078.0,935.5,44.62,15.0,20.0,17.5,48.61,283
392,Florida International,18492,0.575,1240.0,1300.0,1270.0,72.5,23.0,28.0,25.5,70.83,10632
393,Morehouse College,3554,0.579,1010.0,1210.0,1110.0,59.17,20.0,25.0,22.5,62.5,2057
394,University of Alabama,37302,0.591,1060.0,1280.0,1170.0,64.17,23.0,31.0,27.0,75.0,22045
395,Florida Institute of Technology,9743,0.657,1150.0,1360.0,1255.0,71.25,24.0,30.0,27.0,75.0,6401
396,Louisiana State University—​Baton Rouge,24501,0.746,1080.0,1310.0,1195.0,66.25,23.0,29.0,26.0,72.22,18277
397,The Citadel,2742,0.747,1050.0,1230.0,1140.0,61.67,20.0,25.0,22.5,62.5,2048
398,New College of Florida,1340,0.768,1220.0,1420.0,1320.0,76.67,26.0,31.0,28.5,79.17,1029
399,Thomas Aquinas College,211,0.777,1220.0,1400.0,1310.0,75.83,25.0,30.0,27.5,76.39,163
400,University of Texas Rio Grande Valley,10680,0.7979999999999999,950.0,1130.0,1040.0,53.33,17.0,22.0,19.5,54.17,8522
401,University of South Dakota,4434,0.8640000000000001,990.0,1180.0,1085.0,57.08,19.0,25.0,22.0,61.11,3830
402,University of Mississippi,15371,0.8809999999999999,1050.0,1270.0,1160.0,63.33,21.0,29.0,25.0,69.44,13541
403,University of Wyoming,5348,0.96,1060.0,1280.0,1170.0,64.17,22.0,28.0,25.0,69.44,5134
404,University of Texas El Paso,7157,0.9990000000000001,820.0,1050.0,935.0,44.58,17.0,23.0,20.0,55.56,7149
